# column 1: time [ps]
# column 2: msd xyz [A^2]
# column 3: msd x [A^2]
# column 4: msd y [A^2]
# column 5: msd z [A^2]
0.42 6.4632 2.17071 2.16301 2.12949
0.4225 6.52996 2.19315 2.18528 2.15154
0.425 6.59698 2.21567 2.20763 2.17367
0.4275 6.66424 2.23828 2.23006 2.19589
0.43 6.73174 2.26097 2.25257 2.2182
0.4325 6.7995 2.28375 2.27516 2.24059
0.435 6.8675 2.3066 2.29783 2.26307
0.4375 6.93575 2.32954 2.32057 2.28563
0.44 7.00424 2.35256 2.34339 2.30828
0.4425 7.07297 2.37567 2.36629 2.33101
0.445 7.14195 2.39885 2.38927 2.35383
0.4475 7.21116 2.42211 2.41232 2.37673
0.45 7.28062 2.44546 2.43545 2.39971
0.4525 7.35031 2.46888 2.45866 2.42278
0.455 7.42024 2.49239 2.48194 2.44592
0.4575 7.49041 2.51597 2.50529 2.46915
0.46 7.56082 2.53963 2.52872 2.49246
0.4625 7.63145 2.56338 2.55223 2.51585
0.465 7.70232 2.5872 2.57581 2.53932
0.4675 7.77343 2.6111 2.59947 2.56286
0.47 7.84476 2.63507 2.6232 2.58649
0.4725 7.91633 2.65913 2.64701 2.61019
0.475 7.98812 2.68326 2.67089 2.63397
0.4775 8.06015 2.70747 2.69484 2.65783
0.48 8.1324 2.73176 2.71887 2.68177
0.4825 8.20488 2.75613 2.74297 2.70578
0.485 8.27759 2.78057 2.76715 2.72987
0.4875 8.35053 2.8051 2.7914 2.75403
0.49 8.42368 2.82969 2.81573 2.77827
0.4925 8.49707 2.85437 2.84012 2.80258
0.495 8.57067 2.87912 2.86459 2.82696
0.4975 8.6445 2.90395 2.88914 2.85142
0.5 8.71855 2.92885 2.91375 2.87595
0.5025 8.79282 2.95383 2.93844 2.90056
0.505 8.86731 2.97888 2.96319 2.92524
0.5075 8.94201 3.004 2.98802 2.94999
0.51 9.01693 3.0292 3.01292 2.97481
0.5125 9.09206 3.05448 3.03789 2.9997
0.515 9.1674 3.07982 3.06292 3.02466
0.5175 9.24296 3.10524 3.08802 3.04969
0.52 9.31872 3.13073 3.11319 3.07479
0.5225 9.39469 3.1563 3.13843 3.09996
0.525 9.47086 3.18194 3.16373 3.1252
0.5275 9.54724 3.20764 3.18909 3.15051
0.53 9.62383 3.23343 3.21452 3.17588
0.5325 9.70061 3.25928 3.24002 3.20132
0.535 9.7776 3.28521 3.26558 3.22682
0.5375 9.85479 3.3112 3.2912 3.25239
0.54 9.93218 3.33727 3.31688 3.27803
0.5425 10.0098 3.36342 3.34262 3.30373
0.545 10.0876 3.38963 3.36843 3.3295
0.5475 10.1656 3.41592 3.3943 3.35534
0.55 10.2437 3.44227 3.42022 3.38124
0.5525 10.3221 3.4687 3.44621 3.40721
0.555 10.4007 3.4952 3.47225 3.43324
0.5575 10.4795 3.52177 3.49836 3.45934
0.56 10.5584 3.54841 3.52452 3.48551
0.5625 10.6376 3.57512 3.55075 3.51174
0.565 10.717 3.6019 3.57703 3.53804
0.5675 10.7965 3.62875 3.60337 3.5644
0.57 10.8763 3.65567 3.62976 3.59083
0.5725 10.9562 3.68265 3.65622 3.61732
0.575 11.0363 3.70971 3.68273 3.64388
0.5775 11.1166 3.73683 3.7093 3.67051
0.58 11.1971 3.76402 3.73593 3.69719
0.5825 11.2778 3.79128 3.76261 3.72395
0.585 11.3587 3.81861 3.78936 3.75076
0.5875 11.4398 3.846 3.81616 3.77764
0.59 11.5211 3.87346 3.84302 3.80458
0.5925 11.6025 3.90099 3.86993 3.83158
0.595 11.6841 3.92859 3.89691 3.85865
0.5975 11.766 3.95626 3.92394 3.88578
0.6 11.848 3.98399 3.95103 3.91297
0.6025 11.9302 4.01179 3.97817 3.94022
0.605 12.0126 4.03965 4.00538 3.96753
0.6075 12.0951 4.06758 4.03264 3.9949
0.61 12.1779 4.09558 4.05996 4.02233
0.6125 12.2608 4.12365 4.08734 4.04983
0.615 12.3439 4.15178 4.11477 4.07738
0.6175 12.4272 4.17997 4.14226 4.105
0.62 12.5107 4.20823 4.1698 4.13267
0.6225 12.5944 4.23655 4.19741 4.16041
0.625 12.6782 4.26494 4.22506 4.18821
0.6275 12.7622 4.29339 4.25278 4.21607
0.63 12.8464 4.3219 4.28055 4.24398
0.6325 12.9308 4.35047 4.30837 4.27196
0.635 13.0154 4.37911 4.33625 4.3
0.6375 13.1001 4.4078 4.36419 4.3281
0.64 13.185 4.43656 4.39218 4.35626
0.6425 13.2701 4.46538 4.42023 4.38447
0.645 13.3553 4.49426 4.44834 4.41275
